COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
           Q_WC_X_08	    3	      1,000,000	    2,842,860,000	          351,758	  13	   10	   9,085	  10,003	     1	          1,000	         22,000	        120,000	        823,000	      1,628,000
           Q_WC_X_16	    3	      1,000,000	    3,217,919,000	          310,760	  14	   11	  10,439	  13,614	     1	          2,000	         49,000	        229,000	      1,336,000	      6,633,000

COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {Q.type=disruptor-latest, Q.disruptor.timeout=0}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    1,438,031,000	          695,395	  13	    7	   2,417	     568	   367	          1,000	          4,000	          8,000	         41,000	      2,009,000
             Q_WC_02	    1	      1,000,000	    1,951,810,000	          512,345	  13	    7	   3,056	   1,911	   194	              0	          4,000	          9,000	        338,000	        684,000
             Q_WC_04	    1	      1,000,000	    9,619,786,000	          103,952	  14	    9	  10,297	  18,925	   182	              0	         13,000	         21,000	         33,000	        743,000
             Q_WC_08	    1	      1,000,000	   18,241,915,000	           54,819	  15	    9	  17,704	  38,544	    35	          1,000	         22,000	         28,000	         38,000	        111,000
             Q_WC_16	    1	      1,000,000	   22,868,204,000	           43,729	  17	   22	  21,361	  48,523	    82	          4,000	         25,000	         33,000	         44,000	        801,000
           Q_WC_X_01	    1	      1,000,000	    1,255,388,000	          796,566	  13	    7	   1,918	     409	     0	          1,000	          4,000	          9,000	         21,000	        662,000
           Q_WC_X_02	    1	      1,000,000	    1,654,025,000	          604,586	  13	    8	   3,324	   1,862	    29	          1,000	          6,000	         17,000	         33,000	        736,000
           Q_WC_X_04	    1	      1,000,000	    2,322,703,000	          430,533	  13	    8	   6,360	   5,994	    64	          1,000	         12,000	         35,000	        114,000	        823,000
           Q_WC_X_08	    1	      1,000,000	    2,019,528,000	          495,165	  13	    8	   7,149	   7,007	    36	          1,000	         16,000	         69,000	        554,000	      1,231,000
           Q_WC_X_16	    1	      1,000,000	    2,415,904,000	          413,924	  13	   11	   7,904	  10,537	     0	          1,000	         30,000	        105,000	        332,000	      1,508,000

             Q_WC_01	    2	      1,000,000	    1,296,845,000	          771,102	  13	    7	   1,936	     455	    16	          1,000	          4,000	          9,000	         18,000	        830,000
             Q_WC_02	    2	      1,000,000	    2,007,281,000	          498,186	  13	    8	   3,028	   1,965	    31	          1,000	          4,000	          8,000	         15,000	         62,000
             Q_WC_04	    2	      1,000,000	    9,685,039,000	          103,252	  14	    8	  10,538	  19,115	     0	          1,000	         13,000	         21,000	         33,000	        772,000
             Q_WC_08	    2	      1,000,000	   18,793,918,000	           53,209	  15	   10	  18,722	  40,316	     0	          1,000	         23,000	         30,000	         45,000	        382,000
             Q_WC_16	    2	      1,000,000	   23,696,567,000	           42,200	  16	   10	  22,994	  51,906	    38	              0	         27,000	         35,000	         47,000	        955,000
           Q_WC_X_01	    2	      1,000,000	    1,393,712,000	          717,508	  13	    8	   2,070	     498	     0	          1,000	          4,000	          8,000	         17,000	        786,000
           Q_WC_X_02	    2	      1,000,000	    1,611,780,000	          620,432	  13	    8	   3,300	   1,792	    33	          1,000	          6,000	         16,000	         30,000	        822,000
           Q_WC_X_04	    2	      1,000,000	    2,365,175,000	          422,802	  13	    8	   6,428	   6,252	    41	          1,000	         12,000	         35,000	         93,000	        961,000
           Q_WC_X_08	    2	      1,000,000	    2,070,883,000	          482,886	  13	    9	   7,381	   7,273	    85	              0	         20,000	         90,000	        445,000	      1,345,000
           Q_WC_X_16	    2	      1,000,000	    2,591,272,000	          385,911	  13	   11	   8,458	  11,286	     0	          2,000	         30,000	        114,000	      1,177,000	     18,929,000

             Q_WC_01	    3	      1,000,000	    1,337,166,000	          747,850	  13	    8	   2,033	     447	     0	          1,000	          4,000	          9,000	         17,000	        828,000
